date,close,volume,open,high,low
7/24/15,265.41,2834521,267.38,271.09,263.92
7/23/15,267.2,2222481,269.65,269.9,265.27
7/22/15,267.87,3097326,261.27,269.44,260.86
7/21/15,266.77,6091632,270.05,273.5,266.55
7/20/15,282.26,4969754,275,286.65,272.54
7/17/15,274.66,4996689,272.5,275.54,268.25
7/16/15,266.68,1598253,264.22,267.2,263.16
7/15/15,263.14,2006860,266.74,267.49,262.08
7/14/15,265.65,1905569,262.1,265.9899,260.51
7/13/15,262.16,2951397,262.25,262.55,256.05
7/10/15,259.15,2605215,262.22,263,257.82
7/9/15,257.92,3329764,259.08,262.95,256.79
7/8/15,254.96,6212610,259.32,260.8,254.31
7/7/15,267.88,6096385,275,275.2,260.77
7/6/15,279.72,4109259,278.88,281.69,276.3
7/2/15,280.02,7155585,280.195,282.45,273.31
7/1/15,269.15,2100019,271.11,272.62,267.8503
6/30/15,268.26,3084435,264.8,270.92,264
6/29/15,262.02,3471452,261.95,265.95,260.7
6/26/15,267.09,3829660,268.89,269.11,266
